span_id,span_text,extractor,rank,concept_uri,score,decision
pflege-fachkraft-002-adjn-1,moderne Pflegeeinrichtung,adj_noun,1,http://data.europa.eu/esco/skill/mini/pflegeplanung,0.6317,accepted
pflege-fachkraft-002-adjn-1,moderne Pflegeeinrichtung,adj_noun,2,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.5463,rejected
pflege-fachkraft-002-adjn-1,moderne Pflegeeinrichtung,adj_noun,3,http://data.europa.eu/esco/skill/mini/pflegedokumentation,0.4668,rejected
pflege-fachkraft-002-adjn-10,unbefristete Anstellung,adj_noun,1,http://data.europa.eu/esco/skill/mini/umsatzsteuer,0.3906,rejected
pflege-fachkraft-002-adjn-10,unbefristete Anstellung,adj_noun,2,http://data.europa.eu/esco/skill/mini/ms-office,0.3748,rejected
pflege-fachkraft-002-adjn-10,unbefristete Anstellung,adj_noun,3,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.3655,rejected
pflege-fachkraft-002-adjn-11,tarifliche Vergütung,adj_noun,1,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.3861,rejected
pflege-fachkraft-002-adjn-11,tarifliche Vergütung,adj_noun,2,http://data.europa.eu/esco/skill/mini/vertrieb,0.3854,rejected
pflege-fachkraft-002-adjn-11,tarifliche Vergütung,adj_noun,3,http://data.europa.eu/esco/skill/mini/grundpflege,0.3230,rejected
pflege-fachkraft-002-adjn-12,umfangreiche Fort- und Weiterbildungsmöglichkeiten,adj_noun,1,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.5156,accepted
pflege-fachkraft-002-adjn-12,umfangreiche Fort- und Weiterbildungsmöglichkeiten,adj_noun,2,http://data.europa.eu/esco/skill/mini/umsatzsteuer,0.4227,rejected
pflege-fachkraft-002-adjn-12,umfangreiche Fort- und Weiterbildungsmöglichkeiten,adj_noun,3,http://data.europa.eu/esco/skill/mini/kaufm-ausbildung,0.3908,rejected
pflege-fachkraft-002-adjn-2,examinierte Pflegefachkräfte,adj_noun,1,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.6907,accepted
pflege-fachkraft-002-adjn-2,examinierte Pflegefachkräfte,adj_noun,2,http://data.europa.eu/esco/skill/mini/pflegeplanung,0.6344,rejected
pflege-fachkraft-002-adjn-2,examinierte Pflegefachkräfte,adj_noun,3,http://data.europa.eu/esco/skill/mini/pflegedokumentation,0.5815,rejected
pflege-fachkraft-002-adjn-3,ganzheitliche Grund- und Behandlungspflege,adj_noun,1,http://data.europa.eu/esco/skill/mini/grundpflege,0.9279,accepted
pflege-fachkraft-002-adjn-3,ganzheitliche Grund- und Behandlungspflege,adj_noun,2,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.3674,rejected
pflege-fachkraft-002-adjn-3,ganzheitliche Grund- und Behandlungspflege,adj_noun,3,http://data.europa.eu/esco/skill/mini/empathie,0.3615,rejected
pflege-fachkraft-002-adjn-4,ärztlicher Anordnung,adj_noun,1,http://data.europa.eu/esco/skill/mini/etl,0.3674,rejected
pflege-fachkraft-002-adjn-4,ärztlicher Anordnung,adj_noun,2,http://data.europa.eu/esco/skill/mini/kaufm-ausbildung,0.3309,rejected
pflege-fachkraft-002-adjn-4,ärztlicher Anordnung,adj_noun,3,http://data.europa.eu/esco/skill/mini/eigenverantwortung,0.3289,rejected
